Rank,Name,Frequency,Year
273,Ben,8,1980
273,Caleb,8,1980
273,Damien,8,1980
273,Darin,8,1980
273,Davin,8,1980
273,Don,8,1980
273,Dusty,8,1980
273,Edwin,8,1980
273,Elijah,8,1980
273,Francis,8,1980
273,Jerry,8,1980
273,Kelvin,8,1980
273,Kenton,8,1980
273,Lane,8,1980
273,Liam,8,1980
273,Marcus,8,1980
273,Oliver,8,1980
273,Preston,8,1980
273,Trenton,8,1980
273,Tristan,8,1980
273,Wyatt,8,1980
296,Brady,7,1980
296,Colby,7,1980
296,Desmond,7,1980
296,Dwight,7,1980
296,Gilbert,7,1980
296,Glenn,7,1980
296,Jack,7,1980
296,Jan,7,1980
296,Jarrett,7,1980
296,Jon,7,1980
296,Julien,7,1980
296,Kris,7,1980
296,Kristofer,7,1980
296,Lloyd,7,1980
296,Mackenzie,7,1980
296,Malcolm,7,1980
296,Mario,7,1980
296,Michel,7,1980
296,Mohammad,7,1980
296,Regan,7,1980
296,Reuben,7,1980
296,Robbie,7,1980
296,Shannon,7,1980
296,Stacey,7,1980
296,Theodore,7,1980
296,Tyrone,7,1980
322,Adrien,6,1980
322,Alain,6,1980
322,Alim,6,1980
322,Alvin,6,1980
322,Angus,6,1980
322,Braden,6,1980
322,Carlos,6,1980
322,Chadwick,6,1980
322,Conor,6,1980
322,Darrin,6,1980
322,Donovan,6,1980
322,Eli,6,1980
322,Galen,6,1980
322,Gerard,6,1980
322,Gilles,6,1980
322,Gregg,6,1980
322,Jarred,6,1980
322,John-Paul,6,1980
322,Jonah,6,1980
322,Leon,6,1980
322,Loren,6,1980
322,Lyndon,6,1980
322,Marco,6,1980
322,Marvin,6,1980
322,Mitchel,6,1980
322,Nigel,6,1980
322,Noel,6,1980
322,Philippe,6,1980
322,Randolph,6,1980
322,Reid,6,1980
322,Ron,6,1980
322,Sidney,6,1980
322,Stewart,6,1980
322,Tommy,6,1980
322,Tylor,6,1980
322,Tyrel,6,1980
322,Vance,6,1980
359,Ahmed,5,1980
359,Austin,5,1980
359,Boyd,5,1980
359,Brant,5,1980
359,Cheyenne,5,1980
359,Clark,5,1980
359,Codey,5,1980
359,Cole,5,1980
359,Damon,5,1980
359,Dominic,5,1980
359,Elliott,5,1980
359,Ernest,5,1980
359,Giuseppe,5,1980
359,Harold,5,1980
359,Harvey,5,1980
359,Herman,5,1980
359,Imran,5,1980
359,Jade,5,1980
359,Jaret,5,1980
359,Jasen,5,1980
359,Jefferey,5,1980
359,Johnathon,5,1980
359,Jonas,5,1980
359,Keegan,5,1980
359,Kendall,5,1980
359,Layne,5,1980
359,Leland,5,1980
359,Lindsay,5,1980
359,Lionel,5,1980
359,Luc,5,1980
359,Lukas,5,1980
359,Marshall,5,1980
359,Mason,5,1980
359,Mike,5,1980
359,Miles,5,1980
359,Monty,5,1980
359,Myles,5,1980
359,Nicolas,5,1980
359,Perry,5,1980
359,Quinton,5,1980
359,Randal,5,1980
359,Ray,5,1980
359,Rene,5,1980
359,Rhys,5,1980
359,Sonny,5,1980
359,Stacy,5,1980
359,Tobias,5,1980
359,Waylon,5,1980
407,Ahmad,4,1980
407,Alfred,4,1980
407,Amandeep,4,1980
407,Arif,4,1980
407,Arnold,4,1980
407,Brenden,4,1980
407,Callum,4,1980
407,Chance,4,1980
407,Clarence,4,1980
407,Darrel,4,1980
407,Dexter,4,1980
407,Dieter,4,1980
407,Dillon,4,1980
407,Donny,4,1980
407,Dorian,4,1980
407,Edgar,4,1980
407,Eldon,4,1980
407,Elias,4,1980
407,Ervin,4,1980
407,Everett,4,1980
407,Felix,4,1980
407,Francois,4,1980
407,Garnet,4,1980
407,Harpreet,4,1980
407,Harry,4,1980
407,Hassan,4,1980
407,Heath,4,1980
407,Jaime,4,1980
407,Jake,4,1980
407,Jarod,4,1980
407,Jeff,4,1980
407,Jens,4,1980
407,Jerome,4,1980
407,Joesph,4,1980
407,Jordie,4,1980
407,Jose,4,1980
407,Kai,4,1980
407,Ken,4,1980
407,Kristoffer,4,1980
407,Leigh,4,1980
407,Lenny,4,1980
407,Marty,4,1980
407,Max,4,1980
407,Mohamad,4,1980
407,Mohammed,4,1980
407,Omar,4,1980
407,Percy,4,1980
407,Quinn,4,1980
407,Rahim,4,1980
407,Ravinder,4,1980
407,Reed,4,1980
407,Robby,4,1980
407,Roberto,4,1980
407,Robyn,4,1980
407,Rocky,4,1980
407,Rodger,4,1980
407,Ryley,4,1980
407,Samir,4,1980
407,Sherman,4,1980
407,Tarek,4,1980
407,Trever,4,1980
407,Weston,4,1980
469,Ace,3,1980
469,Alex,3,1980
469,Alistair,3,1980
469,Aman,3,1980
469,Amit,3,1980
469,Anil,3,1980
469,Anton,3,1980
469,Ayman,3,1980
469,Benson,3,1980
469,Bjorn,3,1980
469,Brennan,3,1980
469,Bret,3,1980
469,Brooke,3,1980
469,Burke,3,1980
469,Burton,3,1980
469,Carey,3,1980
469,Carson,3,1980
469,Cary,3,1980
469,Che,3,1980
469,Chester,3,1980
469,Cordell,3,1980
469,Cristopher,3,1980
469,Dalton,3,1980
469,Darius,3,1980
469,Dereck,3,1980
469,Derick,3,1980
469,Domenico,3,1980
469,Draper,3,1980
469,Edmund,3,1980
469,Emmanuel,3,1980
469,Errol,3,1980
469,Ethan,3,1980
469,Fabian,3,1980
469,Faron,3,1980
469,Fredrick,3,1980
469,Gaetan,3,1980
469,Gareth,3,1980
469,Garret,3,1980
469,Geoffery,3,1980
469,Giovanni,3,1980
469,Grayson,3,1980
469,Greggory,3,1980
469,Hayden,3,1980
469,Hugh,3,1980
469,Jagdeep,3,1980
469,Jamieson,3,1980
469,Jarett,3,1980
469,Jaron,3,1980
469,Jarrad,3,1980
469,Jarret,3,1980
469,Jayme,3,1980
469,Jean-Paul,3,1980
469,Jeffry,3,1980
469,Jerad,3,1980
469,Jeremey,3,1980
469,Jermaine,3,1980
469,Jerrad,3,1980
469,Jerrett,3,1980
469,Jess,3,1980
469,Johnny,3,1980
469,Jordy,3,1980
469,Juan,3,1980
469,Julian,3,1980
469,Khaled,3,1980
469,Kieran,3,1980
469,Kristen,3,1980
469,Kristjan,3,1980
469,Kristofor,3,1980
469,Kylie,3,1980
469,Lanny,3,1980
469,Lars,3,1980
469,Lindsey,3,1980
469,Long,3,1980
469,Lonnie,3,1980
469,Lonny,3,1980
469,Marko,3,1980
469,Marlin,3,1980
469,Maurice,3,1980
469,Maury,3,1980
469,Maxwell,3,1980
469,Merle,3,1980
469,Mikhael,3,1980
469,Milan,3,1980
469,Niall,3,1980
469,Nick,3,1980
469,Nikolas,3,1980
469,Noah,3,1980
469,Oscar,3,1980
469,Pasquale,3,1980
469,Quang,3,1980
469,Ralph,3,1980
469,Ramon,3,1980
469,Real,3,1980
469,Reginald,3,1980
469,Roland,3,1980
469,Ronny,3,1980
469,Scot,3,1980
469,Sebastian,3,1980
469,Stephan,3,1980
469,Sterling,3,1980
469,Sylvain,3,1980
469,Ted,3,1980
469,Tex,3,1980
469,Tod,3,1980
469,Tomas,3,1980
469,Ty,3,1980
469,Tyrell,3,1980
469,Wallace,3,1980
469,Winston,3,1980
469,Ziad,3,1980
579,Alaric,2,1980
579,Aleksandar,2,1980
579,Alexandre,2,1980
579,Alexis,2,1980
579,Amardeep,2,1980
579,Angelo,2,1980
579,Anson,2,1980
579,Aric,2,1980
579,Arlen,2,1980
579,Arlo,2,1980
579,Armin,2,1980
579,Aron,2,1980
579,Arvind,2,1980
579,Asad,2,1980
579,Aubrey,2,1980
579,Axel,2,1980
579,Ayaz,2,1980
579,Balraj,2,1980
579,Barrett,2,1980
579,Barrie,2,1980
579,Bart,2,1980
579,Benton,2,1980
579,Bernhard,2,1980
579,Bilal,2,1980
579,Bill,2,1980
579,Billy-Joe,2,1980
579,Blayne,2,1980
579,Blue,2,1980
579,Bo,2,1980
579,Bradford,2,1980
579,Brandan,2,1980
579,Branden,2,1980
579,Brayton,2,1980
579,Brodie,2,1980
579,Brody,2,1980
579,Bruno,2,1980
579,Bryant,2,1980
579,Bryn,2,1980
579,Bryon,2,1980
579,Buckley,2,1980
579,Buddy,2,1980
579,Caley,2,1980
579,Carlo,2,1980
579,Carlton,2,1980
579,Carmen,2,1980
579,Cassius,2,1980
579,Cecil,2,1980
579,Chase,2,1980
579,Chevy,2,1980
579,Christopher-John,2,1980
579,Claude,2,1980
579,Clay,2,1980
579,Conan,2,1980
579,Cordel,2,1980
579,Coty,2,1980
579,Curt,2,1980
579,Dalen,2,1980
579,Dallan,2,1980
579,Damian,2,1980
579,Daniele,2,1980
579,Danniel,2,1980
579,Danyal,2,1980
579,Darek,2,1980
579,Darian,2,1980
579,Darwin,2,1980
579,Daryn,2,1980
579,Dave,2,1980
579,Dawson,2,1980
579,Dayton,2,1980
579,Delbert,2,1980
579,Delmer,2,1980
579,Denny,2,1980
579,Devan,2,1980
579,Devron,2,1980
579,Dillin,2,1980
579,Dimitrios,2,1980
579,Dolan,2,1980
579,Donavan,2,1980
579,Doran,2,1980
579,Dragan,2,1980
579,Ean,2,1980
579,Edmond,2,1980
579,Elden,2,1980
579,Emile,2,1980
579,Erich,2,1980
579,Erick,2,1980
579,Ezekiel,2,1980
579,Fabien,2,1980
579,Fayaz,2,1980
579,Ferlin,2,1980
579,Fernando,2,1980
579,Forrest,2,1980
579,Foster,2,1980
579,Francesco,2,1980
579,Franco,2,1980
579,Franklin,2,1980
579,Fred,2,1980
579,Gautam,2,1980
579,Gerad,2,1980
579,Gerrit,2,1980
579,Gianni,2,1980
579,Gideon,2,1980
579,Graydon,2,1980
579,Gregorio,2,1980
579,Hans,2,1980
579,Hardy,2,1980
579,Harrison,2,1980
579,Heinrich,2,1980
579,Hendrik,2,1980
579,Herbert,2,1980
579,Horace,2,1980
579,Hudson,2,1980
579,Hugo,2,1980
579,Ira,2,1980
579,Irfan,2,1980
579,Irvin,2,1980
579,Ivor,2,1980
579,J.,2,1980
579,Jacky,2,1980
579,Jaden,2,1980
579,Jamal,2,1980
579,Jamey,2,1980
579,Jaroslaw,2,1980
579,Jarrid,2,1980
579,Jarvis,2,1980
579,Javier,2,1980
