Rank,Name,Frequency,Year
257,Lora,12,1980
257,Martha,12,1980
257,Morgan,12,1980
257,Rochelle,12,1980
274,Angel,11,1980
274,Billie,11,1980
274,Chrystal,11,1980
274,Kathy,11,1980
274,Kristie,11,1980
274,Melisa,11,1980
274,Michele,11,1980
274,Olivia,11,1980
274,Shanna,11,1980
274,Susanne,11,1980
274,Trudy,11,1980
285,Ann,10,1980
285,Arlene,10,1980
285,Beth,10,1980
285,Chelsey,10,1980
285,Cheri,10,1980
285,Dayna,10,1980
285,Ellen,10,1980
285,Jade,10,1980
285,Jayme,10,1980
285,Jeanette,10,1980
285,Jeanine,10,1980
285,Joni,10,1980
285,Joyce,10,1980
285,Judith,10,1980
285,Judy,10,1980
285,Kate,10,1980
285,Kellie,10,1980
285,Lara,10,1980
285,Marina,10,1980
285,Marissa,10,1980
285,Rachael,10,1980
285,Richelle,10,1980
285,Sylvia,10,1980
285,Tabitha,10,1980
309,Beverley,9,1980
309,Corinne,9,1980
309,Dara,9,1980
309,Elissa,9,1980
309,Emma,9,1980
309,Jean,9,1980
309,Kelli,9,1980
309,Kylie,9,1980
309,Louise,9,1980
309,Marcie,9,1980
309,Mindy,9,1980
309,Miriam,9,1980
309,Randi,9,1980
309,Sally,9,1980
309,Sasha,9,1980
309,Shirley,9,1980
309,Sonia,9,1980
309,Vicki,9,1980
309,Vicky,9,1980
328,Alyson,8,1980
328,Angeline,8,1980
328,Carissa,8,1980
328,Colette,8,1980
328,Elisa,8,1980
328,Frances,8,1980
328,Francine,8,1980
328,Glenda,8,1980
328,Hayley,8,1980
328,Jaimie,8,1980
328,Juliana,8,1980
328,Lee,8,1980
328,Liza,8,1980
328,Loni,8,1980
328,Lorraine,8,1980
328,Mackenzie,8,1980
328,Mandi,8,1980
328,Marla,8,1980
328,Meagan,8,1980
328,Penny,8,1980
328,Sandy,8,1980
328,Shari,8,1980
328,Stacie,8,1980
328,Terry,8,1980
352,Abigail,7,1980
352,Alisa,7,1980
352,Angelina,7,1980
352,Annie,7,1980
352,Breanna,7,1980
352,Claudia,7,1980
352,Corinna,7,1980
352,Cristin,7,1980
352,Daisy,7,1980
352,Darlene,7,1980
352,Devon,7,1980
352,Eileen,7,1980
352,Fatima,7,1980
352,Gail,7,1980
352,Jeannette,7,1980
352,Jordan,7,1980
352,Karyn,7,1980
352,Kristyn,7,1980
352,Leanna,7,1980
352,Lynette,7,1980
352,Lynnette,7,1980
352,Marcia,7,1980
352,Marilyn,7,1980
352,Marsha,7,1980
352,Mellisa,7,1980
352,Meredith,7,1980
352,Nikki,7,1980
352,Paige,7,1980
352,Regan,7,1980
352,Rita,7,1980
352,Sharlene,7,1980
352,Sheena,7,1980
352,Sophie,7,1980
352,Susanna,7,1980
352,Tannis,7,1980
352,Teri,7,1980
352,Tonya,7,1980
352,Venessa,7,1980
352,Vivian,7,1980
352,Yvonne,7,1980
392,Adina,6,1980
392,Adriana,6,1980
392,Amelia,6,1980
392,Anastasia,6,1980
392,Betty,6,1980
392,Brianna,6,1980
392,Edith,6,1980
392,Elena,6,1980
392,Emilie,6,1980
392,Ginger,6,1980
392,Hannah,6,1980
392,Helena,6,1980
392,Jami,6,1980
392,Janeen,6,1980
392,Joelle,6,1980
392,Joleen,6,1980
392,Kimberlee,6,1980
392,Kirstin,6,1980
392,Kristal,6,1980
392,Lacey,6,1980
392,Lena,6,1980
392,Lianne,6,1980
392,Lorelei,6,1980
392,Lorna,6,1980
392,Lydia,6,1980
392,Lyndsey,6,1980
392,Marci,6,1980
392,Marianne,6,1980
392,Marlene,6,1980
392,Martina,6,1980
392,Melodie,6,1980
392,Pauline,6,1980
392,Raelene,6,1980
392,Ramona,6,1980
392,Rosa,6,1980
392,Rosanna,6,1980
392,Rosanne,6,1980
392,Shana,6,1980
392,Sophia,6,1980
392,Stefanie,6,1980
392,Tami,6,1980
392,Tammi,6,1980
392,Taryn,6,1980
435,Aileen,5,1980
435,Alice,5,1980
435,Allyson,5,1980
435,Anna-Marie,5,1980
435,Autumn,5,1980
435,Bernadette,5,1980
435,Bethany,5,1980
435,Billie-Jo,5,1980
435,Bobbie,5,1980
435,Bree,5,1980
435,Brenna,5,1980
435,Bridget,5,1980
435,Carley,5,1980
435,Celeste,5,1980
435,Clara,5,1980
435,Constance,5,1980
435,Cora,5,1980
435,Cori,5,1980
435,Corrina,5,1980
435,Darcie,5,1980
435,Darcy,5,1980
435,Dena,5,1980
435,Destiny,5,1980
435,Dominique,5,1980
435,Dorothy,5,1980
435,Elise,5,1980
435,Elisha,5,1980
435,Erinn,5,1980
435,Evelyn,5,1980
435,Faith,5,1980
435,Faye,5,1980
435,Gabrielle,5,1980
435,Gloria,5,1980
435,Ingrid,5,1980
435,Janel,5,1980
435,Janette,5,1980
435,Jayne,5,1980
435,Jennie,5,1980
435,Joan,5,1980
435,Jordana,5,1980
435,Josie,5,1980
435,Justina,5,1980
435,Karina,5,1980
435,Katerina,5,1980
435,Kelley,5,1980
435,Kerrie,5,1980
435,Lee-Ann,5,1980
435,Liana,5,1980
435,Lynda,5,1980
435,Marni,5,1980
435,Mary-Ann,5,1980
435,Meaghan,5,1980
435,Mellissa,5,1980
435,Mona,5,1980
435,Monika,5,1980
435,Nicola,5,1980
435,Niki,5,1980
435,Nina,5,1980
435,Rena,5,1980
435,Rene,5,1980
435,Rhea,5,1980
435,Selena,5,1980
435,Shanda,5,1980
435,Sharla,5,1980
435,Sherisse,5,1980
435,Sonja,5,1980
435,Starla,5,1980
435,Tanja,5,1980
435,Tennille,5,1980
435,Tracie,5,1980
435,Trista,5,1980
435,Whitney,5,1980
507,Aaron,4,1980
507,Abby,4,1980
507,Adele,4,1980
507,Aimie,4,1980
507,Alberta,4,1980
507,Alissa,4,1980
507,Aliya,4,1980
507,Allana,4,1980
507,Alycia,4,1980
507,Ana,4,1980
507,Andria,4,1980
507,Angelique,4,1980
507,Athena,4,1980
507,Audra,4,1980
507,Candy,4,1980
507,Carlene,4,1980
507,Carrie-Lynn,4,1980
507,Casey,4,1980
507,Cathy,4,1980
507,Celia,4,1980
507,Chanel,4,1980
507,Cheyanne,4,1980
507,Cindi,4,1980
507,Clare,4,1980
507,Corina,4,1980
507,Corrine,4,1980
507,Crista,4,1980
507,Darla,4,1980
507,Deana,4,1980
507,Dina,4,1980
507,Dora,4,1980
507,Ebony,4,1980
507,Farrah,4,1980
507,Felicia,4,1980
507,Gayle,4,1980
507,Giselle,4,1980
507,Gwen,4,1980
507,Hailey,4,1980
507,Haley,4,1980
507,Harmony,4,1980
507,Hazel,4,1980
507,Hillary,4,1980
507,Jacinda,4,1980
507,Jackelyn,4,1980
507,Jada,4,1980
507,Janell,4,1980
507,Jenifer,4,1980
507,Julianne,4,1980
507,Justine,4,1980
507,Kandice,4,1980
507,Karin,4,1980
507,Karmen,4,1980
507,Karrie,4,1980
507,Katharine,4,1980
507,Katherina,4,1980
507,Kathrine,4,1980
507,Kristel,4,1980
507,Leigh,4,1980
507,Lila,4,1980
507,Lillian,4,1980
507,Lily,4,1980
507,Linsey,4,1980
507,Lisa-Marie,4,1980
507,Loretta,4,1980
507,Lynne,4,1980
507,Marcella,4,1980
507,Marcy,4,1980
507,Marian,4,1980
507,Marika,4,1980
507,Marjorie,4,1980
507,Marnie,4,1980
507,Navdeep,4,1980
507,Nicolette,4,1980
507,Nicolle,4,1980
507,Nora,4,1980
507,Raegan,4,1980
507,Raina,4,1980
507,Reagan,4,1980
507,Renae,4,1980
507,Rhiannon,4,1980
507,Ricki,4,1980
507,Rosemary,4,1980
507,Sacha,4,1980
507,Sharleen,4,1980
507,Shaunna,4,1980
507,Shilo,4,1980
507,Sofia,4,1980
507,Somer,4,1980
507,Stephenie,4,1980
507,Talia,4,1980
507,Tara-Lee,4,1980
507,Tara-Lynn,4,1980
507,Tarra,4,1980
507,Tenille,4,1980
507,Tera,4,1980
507,Terrie,4,1980
507,Tia,4,1980
507,Tiana,4,1980
507,Tonia,4,1980
507,Trinity,4,1980
507,Twyla,4,1980
507,Yvette,4,1980
609,Adria,3,1980
609,Alena,3,1980
609,Aleta,3,1980
609,Alexandria,3,1980
609,Aline,3,1980
609,Amandeep,3,1980
609,Angelica,3,1980
609,Annemarie,3,1980
609,Ann-Marie,3,1980
609,Antonia,3,1980
609,Aurelie,3,1980
609,Ava,3,1980
609,Bernice,3,1980
609,Bertha,3,1980
609,Bobbi-Lee,3,1980
609,Bobby-Jo,3,1980
609,Brie,3,1980
609,Brigitte,3,1980
609,Brittany,3,1980
609,Bryanne,3,1980
609,Caitlin,3,1980
609,Carey,3,1980
609,Carina,3,1980
609,Carlee,3,1980
609,Carleen,3,1980
609,Cassie,3,1980
609,Cecile,3,1980
609,Cecilia,3,1980
609,Celina,3,1980
609,Chantell,3,1980
609,Chasity,3,1980
609,Cherise,3,1980
609,Christal,3,1980
609,Christi,3,1980
609,Cinthia,3,1980
609,Clarissa,3,1980
609,Claudette,3,1980
609,Coralee,3,1980
609,Corrie,3,1980
609,Cory,3,1980
609,Cristy,3,1980
609,Dale,3,1980
609,Dalyce,3,1980
609,Danelle,3,1980
609,Daniella,3,1980
609,Daphne,3,1980
609,Dayle,3,1980
609,Debby,3,1980
609,Dee,3,1980
609,Deirdre,3,1980
609,Dianna,3,1980
609,Dianne,3,1980
609,Dixie,3,1980
609,Dusty,3,1980
609,Eliana,3,1980
609,Elisabeth,3,1980
609,Eliza,3,1980
609,Emanuelle,3,1980
609,Farah,3,1980
609,Fay,3,1980
609,Flora,3,1980
609,Gale,3,1980
609,Gaylene,3,1980
609,Georgina,3,1980
609,Ginny,3,1980
609,Hilary,3,1980
609,Hollie,3,1980
609,Iva,3,1980
609,Jacquelynn,3,1980
609,Jaylene,3,1980
609,Jeanie,3,1980
609,Jeannie,3,1980
609,Jena,3,1980
609,Jenine,3,1980
609,Jesse,3,1980
609,Jocelyne,3,1980
609,Joelene,3,1980
609,Johanna,3,1980
609,Jonie,3,1980
609,Julene,3,1980
609,Juli,3,1980
609,Kami,3,1980
609,Kandis,3,1980
609,Karli,3,1980
609,Kira,3,1980
609,Kirsty,3,1980
609,Kori,3,1980
609,Kristan,3,1980
609,Kyley,3,1980
609,Lea,3,1980
609,Leila,3,1980
609,Lenore,3,1980
609,Lina,3,1980
609,Lindy,3,1980
609,Linnea,3,1980
609,Logan,3,1980
609,Lonnie,3,1980
609,Louisa,3,1980
609,Madeleine,3,1980
609,Mariah,3,1980
609,Maryanne,3,1980
609,Mavis,3,1980
609,Maxine,3,1980
609,Meggan,3,1980
609,Merilee,3,1980
609,Michaela,3,1980
609,Moira,3,1980
609,Myra,3,1980
609,Nathalie,3,1980
609,Navjot,3,1980
609,Nevada,3,1980
609,Noelle,3,1980
609,Paola,3,1980
609,Paulette,3,1980
609,Phoebe,3,1980
609,Priya,3,1980
609,Raylene,3,1980
609,Rea,3,1980
609,Rebekah,3,1980
609,Reena,3,1980
609,Rehana,3,1980
609,Rhianna,3,1980
609,Rona,3,1980
609,Ronda,3,1980
609,Rosalie,3,1980
609,Rosalind,3,1980
609,Rose,3,1980
609,Rosemarie,3,1980
609,Salima,3,1980
609,Salimah,3,1980
609,Salma,3,1980
609,Sandeep,3,1980
609,Sandi,3,1980
609,Sandie,3,1980
609,Seema,3,1980
609,Selina,3,1980
609,Serina,3,1980
609,Shaheen,3,1980
609,Shallen,3,1980
609,Shanley,3,1980
609,Shanon,3,1980
609,Shantel,3,1980
609,Sherilyn,3,1980
609,Sherrie,3,1980
609,Shyla,3,1980
609,Shylo,3,1980
609,Sierra,3,1980
609,Silvia,3,1980
609,Simone,3,1980
609,Summer,3,1980
609,Susana,3,1980
609,Suzana,3,1980
609,Suzanna,3,1980
609,Tabatha,3,1980
609,Tai,3,1980
609,Tarah,3,1980
609,Tawnya,3,1980
609,Tegan,3,1980
609,Terri-Lee,3,1980
609,Thea,3,1980
609,Thi,3,1980
609,Tisha,3,1980
609,Trish,3,1980
609,Valene,3,1980
609,Willow,3,1980
609,Yolanda,3,1980
609,Zabrina,3,1980
776,Abbie,2,1980
776,Abir,2,1980
776,Adrianne,2,1980
776,Agnes,2,1980
776,Ainsley,2,1980
776,Aisha,2,1980
776,Aja,2,1980
776,Alayna,2,1980
776,Alecia,2,1980
776,Alesha,2,1980
776,Aletha,2,1980
776,Alethea,2,1980
776,Alethia,2,1980
776,Alex,2,1980
776,Alexa,2,1980
776,Ali,2,1980
776,Aliesha,2,1980
776,Allisha,2,1980
776,Alma,2,1980
776,Alysa,2,1980
776,Alysia,2,1980
776,Amal,2,1980
776,Amanda-Lee,2,1980
776,Aminah,2,1980
776,Angella,2,1980
776,Anjali,2,1980
776,Annabelle,2,1980
776,Annalise,2,1980
776,Anneliese,2,1980
776,Anne-Marie,2,1980
776,Annik,2,1980
776,Anya,2,1980
776,Ariel,2,1980
776,Ashima,2,1980
776,Ashlee,2,1980
776,Ashleigh,2,1980
776,Aubrey,2,1980
776,August,2,1980
776,Aurora,2,1980
776,Avery,2,1980
776,Ayesha,2,1980
776,Barbra,2,1980
776,Bekki,2,1980
776,Belinda,2,1980
776,Betsy,2,1980
776,Blaine,2,1980
776,Blair,2,1980
776,Bobby,2,1980
776,Bonita,2,1980
776,Brandi-Lee,2,1980
776,Brandy-Lynn,2,1980
776,Briana,2,1980
776,Brina,2,1980
776,Bronwen,2,1980
776,Caley,2,1980
776,Camara,2,1980
776,Candis,2,1980
776,Candyce,2,1980
776,Caren,2,1980
776,Carie,2,1980
776,Cari-Lynn,2,1980
776,Carlie,2,1980
776,Carmel,2,1980
776,Carmell,2,1980
776,Carri,2,1980
776,Carrie-Ann,2,1980
776,Caryn,2,1980
776,Casandra,2,1980
776,Cassia,2,1980
776,Cassidy,2,1980
776,Cathleen,2,1980
776,Catrina,2,1980
776,Cayley,2,1980
776,Cecily,2,1980
776,Celine,2,1980
776,Chandelle,2,1980
776,Chantale,2,1980
776,Chantalle,2,1980
776,Chantele,2,1980
776,Charleen,2,1980
776,Charmane,2,1980
776,Cherilyn,2,1980
776,Cheryl-Lee,2,1980
776,Cheyenne,2,1980
776,Chris,2,1980
776,Christiane,2,1980
776,Christianna,2,1980
776,Christin,2,1980
776,Christy-Ann,2,1980
776,Clea,2,1980
776,Cody,2,1980
776,Coleen,2,1980
776,Coreen,2,1980
776,Corie,2,1980
776,Cortney,2,1980
776,Crissy,2,1980
776,Cristina,2,1980
776,Crystal-Dawn,2,1980
776,Daiana,2,1980
776,Dalal,2,1980
776,Danica,2,1980
776,Danika,2,1980
776,Danita,2,1980
776,Danna,2,1980
776,Darby,2,1980
776,Darci,2,1980
776,Dawne,2,1980
776,Debbi,2,1980
776,Delia,2,1980
776,Delores,2,1980
776,Denice,2,1980
776,Denita,2,1980
776,Desirea,2,1980
776,Dinah,2,1980
776,Dione,2,1980
776,Dionne,2,1980
776,Doris,2,1980
776,Elana,2,1980
776,Eleanor,2,1980
776,Eleasha,2,1980
776,Elysia,2,1980
776,Eryn,2,1980
776,Ethel,2,1980
776,Eunice,2,1980
776,Evangeline,2,1980
776,Fauzia,2,1980
776,Fern,2,1980
776,Florence,2,1980
776,Gada,2,1980
776,Gena,2,1980
776,Geneva,2,1980
776,Geraldine,2,1980
776,Gerri,2,1980
776,Ginette,2,1980
776,Gisele,2,1980
776,Glenys,2,1980
776,Gwendolyn,2,1980
776,Harriet,2,1980
776,Iris,2,1980
776,Isabelle,2,1980
776,Ivy,2,1980
776,Jacinthe,2,1980
776,Jacklyn,2,1980
776,Jaimi,2,1980
776,Jamie-Lynn,2,1980
776,Jan,2,1980
776,Janey,2,1980
776,Janie,2,1980
776,Janina,2,1980
776,Janis,2,1980
